Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
TU55i4D1,2,G10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU55i4D1,59.766,17.828,,,
TU56i3A3,2,H10,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU56i3A3,48.495,43.552,,,
TU56i3C3,2,B11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU56i3C3,10.921,14.175,,,
TU57i3A1,2,C11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU57i3A1,25.491,14.095,,,
TU57i3B1,2,D11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU57i3B1,91.535,19.441,,,
TU57i3C1,2,E11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU57i3C1,41.421,9.072,,,
TU57i3D1,2,F11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU57i3D1,42.873,19.523,,,
TU60i2A3,2,G11,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU60i2A3,56.443,15.518,,,
TU60i2B3,2,H11,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU60i2B3,54.033,18.704,,,
TU60i2C3,2,A12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU60i2C3,29.608,25.953,,,
TU60i2D2,2,B12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest7,32.2536,-111.0884,10.7.2018,NA,TU60i2D2,186.596,27.674,,,
TU68i2A2,2,C12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU68i2A2,24.462,17.189,,,
TU68i2B2,2,D12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU68i2B2,45.255,14.631,,,
TU68i2C2,2,E12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU68i2C2,31.933,15.95,,,
TU68i2D2,2,F12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,-111.08791,11.7.2018,NA,TU68i2D2,7.654,17.019,,,
T43,LAST,B1,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Oro Valley,AZ,houseIO,NA,NA,Oro Valley,NA,T43,46.651,16.031,,,
T44,LAST,C1,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,Catalina Fothills,NA,T44,148.854,17.619,,,
T47,LAST,D1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2016,NA,T47,399.166,38.606,,,
T48,LAST,E1,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T48,399.62,18.331,,,
T49,LAST,F1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T49,155.626,37.417,,,
T50,LAST,G1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T50,148.689,45.005,,,
T51,LAST,H1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T51,177.235,42.928,,,
T52,LAST,A2,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T52,121.954,15.429,,,
T53,LAST,B2,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T53,182.213,15.108,,,
B10,NIC,C4,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B10,610.315,17.722,,,
B108,NIC,H1,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B108,71.93,71.248,,,
B109,NIC,B7,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B109,63.465,16.715,,,
B110,NIC,C7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B110,67.01,8.749,,,
B111,NIC,D7,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B111,142.08,33.119,,,
B112,NIC,E7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B112,251.235,48.676,,,
B119,NIC,F7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2016,NA,B119,65.565,21.92,,,
B12,NIC,D4,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B12,108.545,1.5,,,
B121,NIC,G7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2016,NA,B121,170.5,6.164,,,
B126,NIC,H7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B126,62.15,14.517,,,
B127,NIC,A8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B127,177.415,35.233,,,
B13,NIC,E4,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B13,344.54,50.756,,,
B132,NIC,B8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B132,117.59,67.595,,,
B135,NIC,C8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B135,104.61,46.893,,,
B14,NIC,F4,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B14,666.98,18.3,,,
B146,NIC,E3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B146,82.885,23.596,,,
B15,NIC,G4,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B15,453.805,47.457,,,
B16,NIC,H4,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B16,746.74,29.155,,,
B160,NIC,F2,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B160,34.785,78.12,,,
B161,NIC,D8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B161,125.49,51.22,,,
B162,NIC,E8,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B162,146.765,71.405,,,
B164,NIC,G2,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B164,118.45,54.26,,,
B165,NIC,F8,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B165,60.685,59.935,,,
B168,NIC,G8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B168,79.2,66.06,,,
B17,NIC,A5,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B17,809.6,46.141,,,
B20,NIC,B5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B20,63.81,44.552,,,
B21,NIC,C5,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B21,745.145,31.62,,,
B22,NIC,D5,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B22,327.35,46.498,,,
B23,NIC,E5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B23,358.68,43.759,,,
B24,NIC,F5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B24,319.39,43.556,,,
B25,NIC,G5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B25,203.995,29.94,,,
B26,NIC,H5,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B26,78.36,38.043,,,
B27,NIC,A6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B27,420.145,12.819,,,
B28,NIC,B6,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B28,86.585,37.704,,,
B29,NIC,C6,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B29,552.455,7.404,,,
B30,NIC,D6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B30,668.2,13.317,,,
B32,NIC,E6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B32,559,24.917,,,
B49,NIC,F6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B49,470.5,15.664,,,
B50,NIC,G6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B50,130.42,14.959,,,
B51,NIC,H6,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B51,267.635,28.769,,,
B57,NIC,A7,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B57,66.705,72.054,,,
B97,NIC,G1,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B97,160.305,48.215,,,
OV1,NIC,H8,Triatoma,sample,N,NA,NA,Trubida,L6,L4_6,NA,NA,NA,Oro Valley,AZ,NA,32.429463,-110.968838,13.6.2017,NA,OV1,211.95,34.116,,,
T12,NIC,D9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Oro Valley,AZ,houseIO,NA,NA,Unknown,NA,T12,87.54,1.588,,,
T13,NIC,E9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,Unknown,NA,T13,514.66,5.64,,,
T14,NIC,F3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Tucson,AZ,houseIO,NA,NA,2017,NA,T14,151.21,40.734,,,
T15,NIC,F9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T15,29.83,37.861,,,
T17,NIC,H9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T17,115.035,54.64,,,
T18,NIC,A10,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T18,156.54,54.874,,,
T19,NIC,B10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T19,60.88,61.356,,,
T2,NIC,A9,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2016,NA,T2,139.33,28.372,,,
T20,NIC,C10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T20,129.55,50.971,,,
T21,NIC,D10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T21,27.205,17.817,,,
T22,NIC,E10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T22,83.325,28.482,,,
T25,NIC,H10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T25,145.15,28.949,,,
T26,NIC,A11,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T26,135.33,19.686,,,
T27,NIC,G3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T27,97.29,48.413,,,
T28,NIC,B11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T28,103.15,40.825,,,
T29,NIC,C11,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T29,70.51,23.719,,,
T3,NIC,B9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Tucson,AZ,houseIO,NA,NA,Unknown,NA,T3,18.7,34.748,,,
T30,NIC,D11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T30,148.8,27.009,,,
T34,NIC,H11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T34,134.285,42.474,,,
T35,NIC,A12,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T35,106.495,36.241,,,
T36,NIC,B12,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T36,206.95,17.578,,,
T37,NIC,C12,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T37,51.82,14.89,,,
T42,NIC,H3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Tucson,AZ,houseIO,NA,NA,Unknown,NA,T42,14.53,9.019,,,
T6,NIC,C9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Tucson,AZ,houseIO,NA,NA,2017,NA,T6,19.31,31.358,,,
1L03A,REP,C4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L03A,NA,58.873,,,
1L04A,REP,D4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L04A,NA,65.912,,,
1L05A,REP,E4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L05A,NA,64.173,,,
1L07A,REP,E3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L07A,NA,53.522,,,
1L08A,REP,F3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L08A,NA,46.81,,,
1L09A,REP,G3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L09A,NA,72.645,,,
1L13A,REP,E5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,-98.68455,6/30/2017,NA,1L13A,NA,56.542,,,
1W02A,REP,H4,Triatoma,sample,P,Tc1,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,Camp_Bullis,TX,0,NA,NA,NA,NA,1W02A,NA,80.957,,,
1W03A,REP,A5,Triatoma,sample,P,Tc1,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,1W03A,NA,58.566,,,
1W06A,REP,B5,Triatoma,sample,N,N,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,1W06A,NA,52.433,,,
2W02A,REP,H3,Triatoma,sample,P,Tc1,field,Tsanguisuga,L5,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,2W02A,NA,60.237,,,
2W03A,REP,A4,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,NA,NA,Lackland_AFB,TX,0,NA,NA,NA,NA,2W03A,NA,79.245,,,
3L04A,REP,B3,Triatoma,sample,P,Tc1,field,Tsanguisuga,L6,L4_6,male,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L04A,NA,32.341,,,
3L05A,REP,C3,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L05A,NA,33.937,,,
3L06A,REP,D3,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L6,L4_6,female,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L06A,NA,36.29,,,
3W05A,REP,B4,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W05A,NA,63.635,,,
3W06A,REP,C5,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W06A,NA,68.621,,,
3W07A,REP,D5,Triatoma,sample,N,N,field,Tsanguisuga,L3_4,L3_4,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W07A,NA,31.719,,,
3W08A,REP,F4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W08A,NA,56.111,,,
3W09A,REP,G4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,3W09A,NA,76.747,,,
4L04A,REP,F5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L04A,NA,61.664,,,
4L05A,REP,G5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L05A,NA,46.452,,,
4L06A,REP,D6,Triatoma,sample,P,TcMIX,field,Tsanguisuga,L2,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L06A,NA,48.818,,,
4L07A,REP,H5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L07A,NA,41.478,,,
4L08A,REP,A6,Triatoma,sample,P,Tc1,field,Tsanguisuga,L3,L1_3,NA,yes,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,4L08A,NA,32.9,,,
