#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
2CH18G,23918,REP,A7,Triatoma,sample,P,Tc2,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH18G,NA,25.947
2CH43G,18633,REP,G7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,yellow_faeces,2CH43G,NA,28.531
2CH44G,28234,REP,H7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH44G,NA,37.167
2CH06G,4240,REP,A8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH06G,NA,5.077
2CH07G,19757,REP,B8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH07G,NA,24.554
2CH30G,3807,REP,C8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH30G,NA,11.875
2CH41G,30448,REP,E7,Triatoma,sample,P,Tc1,field,Tlecticularia,L4,L4_6,NA,NA,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH41G,NA,63.088
2CH36G,7682,REP,D8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH36G,NA,19.44
2CH45G,16526,REP,E8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH45G,NA,14.831
2CH14A,2719,REP,G8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH14A,NA,42.033
2CH35A,13139,REP,H8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH35A,NA,35.779
2CH46A,20114,REP,A9,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH46A,NA,20.85
2CH47A,7983,REP,B9,Triatoma,sample,FALSE,Undetermined,field,Tlecticularia,L1_2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH47A,NA,19.951
2CH51G,24994,REP,D7,Triatoma,sample,P,Tc1,field,Tlecticularia,L5,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH51G,NA,40.858
2CH52G,2889,REP,F8,Triatoma,sample,P,Tc1,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH52G,NA,28.596
LC19i6A0,5241,1,G9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC19i6A0,45.33,20.945
LC20i6A0,10763,1,H9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,male,no,0,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC20i6A0,90.653,29.874
LC21i6A1,19419,1,A10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC21i6A1,90.612,24.66
LC27i6A1,21744,1,G10,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC27i6A1,126.696,24.516
LC31i6A0,11655,1,B11,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,no,0,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC31i6A0,270.277,14.453
LC9i6A1,13916,1,A9,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC9i6A1,413.874,38.789
TU31i6A2,24740,1,C4,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,2,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU31i6A2,110.388,47.642
TU52i6A3,12979,1,A6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU52i6A3,94.998,18.394
TU53i6A0,17398,1,B6,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,no,0,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU53i6A0,483.938,29.828
LC30i5A1,1930,1,A11,Triatoma,sample,P,Tc1,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC30i5A1,124.528,13.31
LC22i5A3,19071,1,B10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC22i5A3,60.481,23.963
LC35i5A3,450,1,E11,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC35i5A3,130.757,8.075
LC24i5A3,11653,1,D10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC24i5A3,47.488,19.02
LC29i4A3,684,1,H10,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,3,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC29i4A3,203.782,28.036
LC25i5A1,3679,1,E10,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC25i5A1,468.857,23.405
LC34i5A1,7572,1,D11,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC34i5A1,110.427,11.726
TU69i6A1,13242,1,D7,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,UADS,AZ,nest9,32.25354,#FIELD!,11.7.2018,NA,TU69i6A1,117.468,19.348
TU23i6A1,816,1,E3,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,yes,1,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU23i6A1,717.167,59.918
TU28i5A1,5706,1,B4,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU28i5A1,197.519,54.926
TU32i6A2,14010,1,D4,Triatoma,sample,P,TcMIX,field,Tprotracta,L6,L4_6,female,yes,2,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU32i6A2,56.982,30.887
TU33i6A1,23797,1,E4,Triatoma,sample,P,Tc1,field,Tprotracta,L6,L4_6,male,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU33i6A1,100.799,48.675
LC23i4A3,12688,1,C10,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,3,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC23i4A3,73.303,24.034
LC36i4A1,1352,1,F11,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,1,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC36i4A1,50.449,11.817
TU35i5A1,9207,1,G4,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU35i5A1,33.543,22.992
TU20i5A0,459,1,B3,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,bob,32.258439,#FIELD!,19.5.2018,NA,TU20i5A0,340.995,30.764
TU26i5A3,1448,1,H3,Triatoma,sample,P,Tc2,field,Tprotracta,L5,L4_6,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU26i5A3,87.315,14.499
TU27i5A0,3030,1,A4,Triatoma,sample,P,TcMIX,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU27i5A0,62.7,48.13
SP1i4A2,14851,1,H8,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,2,SPRNCA,AZ,nest1,31.550325,#FIELD!,6.7.2018,NA,SP1i4A2,60.421,21.071
TU71i5A1,13564,1,E7,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,yes,1,UADS,AZ,nest10,32.25457,#FIELD!,11.7.2018,NA,TU71i5A1,45.062,34.491
TU81i5A0,2052,1,A8,Triatoma,sample,N,N,field,Tprotracta,L5,L4_6,NA,no,0,UADS,AZ,nest13,32.252297,#FIELD!,12.7..2018,NA,TU81i5A0,78.595,27.29
TU49i4A2,8550,2,E9,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,2,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU49i4A2,94.745,22.839
TU49i4B1,10634,2,F9,Triatoma,sample,N,N,field,Tprotracta,L4,L4_6,NA,yes,1,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU49i4B1,164.19,15.702
LC3i3A2,1390,2,C2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC3i3A2,51.978,31.534
TU58i3A1,1926,1,C6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU58i3A1,47.991,12.444
TU59i3A3,14775,1,D6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU59i3A3,13.222,16.88
TU62i3A2,9924,1,F6,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU62i3A2,19.122,22.895
TU66i3A1,5662,1,B7,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,1,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU66i3A1,NA,16.092
TU50i3A3,14290,2,G9,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU50i3A3,75.815,17.875
VM4i6A1,7559,1,F8,Triatoma,sample,N,N,field,Tprotracta,L6,L4_6,female,yes,1,LVH,AZ,LVH,32.229894,#FIELD!,43252,NA,VM4i6A1,212.511,14.487
B143,31175,NIC,D3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B143,59.415,53.542
B158,35057,NIC,E2,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B158,110.55,0.832
B31,15426,NIC,H2,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B31,27.655,35.567
B35,24974,NIC,A3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B35,28.375,54.961
B52,33444,NIC,B3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B52,100.97,35.138
B53,34290,NIC,C3,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B53,42.99,57.313
B96,28305,NIC,F1,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B96,210.755,71.002
T24,10881,NIC,G10,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T24,102.305,23.788
T33,7487,NIC,G11,Triatoma,sample,P,NA,field,Tprotracta,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T33,174.155,29.131
T45,36938,NIC,A4,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,Unknown,NA,T45,140.2,20.298
T46,2998,NIC,B4,Triatoma,sample,N,NA,field,Tprotracta,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2016,NA,T46,305.265,11.737
LC3i3C2,2946,2,E2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC3i3C2,20.168,52.114
LC3i3D2,1299,2,F2,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC3i3D2,23.671,37.961
TU50i3C3,10468,2,A10,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU50i3C3,200.341,40.033
LC2i2F1,379,2,B2,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,1,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2F1,27.332,29.24
TU56i3B3,15044,2,A11,Triatoma,sample,N,N,field,Tprotracta,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU56i3B3,67.794,25.62
LC2i2B2,1954,2,F1,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2B2,20.663,22.041
TU43i2A1,332,1,B5,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU43i2A1,16.794,9.254
TU84i2A0,4442,1,B8,Triatoma,sample,N,N,field,Tprotracta,L2,L1_3,NA,no,0,UADS,AZ,nest13,32.252297,#FIELD!,12.7..2018,NA,TU84i2A0,42.278,13.366
TU61i1A1,311,1,E6,Triatoma,sample,N,N,field,Tprotracta,L1,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU61i1A1,4.52,11.833
JC1i4A2,4830,1,H11,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,2,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,cockroach,JC1i4A2,348.331,15.801
JC2i4A1,1741,1,A12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,1,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,cockroach,JC2i4A1,461.016,38.838
JC3i4A1,29146,1,B12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,1,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,cockroach,JC3i4A1,340.687,37.918
JC4i4A2,1790,1,C12,Triatoma,sample,N,N,colony,Trecurva,L4,L4_6,NA,yes,2,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,cockroach,JC4i4A2,387.53,34.115
JC6i4A3,29576,1,E12,Triatoma,sample,N,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,blood,JC6i4A3,30.42,37.033
JC7i4A3,38583,1,F12,Triatoma,sample,N,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,blood,JC7i4A3,128.551,39.457
JC8i4A3,37672,1,G12,Triatoma,sample,N,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,blood,JC8i4A3,359.769,40.739
JC9i4A3,24088,1,H12,Triatoma,sample,N,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,blood,JC9i4A3,106.317,19.237
TU6i6A0,1665,1,D1,Triatoma,sample,N,N,field,Trecurva,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,#FIELD!,19.5.2018,NA,TU6i6A0,563.232,41.659
JC10i4A3,20325,2,E6,Triatoma,sample,N,NA,colony,Trecurva,L4,L4_6,NA,yes,3,JC,AZ,JC,32.241693,#FIELD!,10.7.2018,blood,JC10i4A3,167.033,24.45
B140,38070,NIC,A2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B140,473.2,35.507
B152,11752,NIC,B2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B152,69.57,42.455
B153,46557,NIC,C2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B153,147.105,50.895
B156,4723,NIC,D2,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B156,190.61,46.236
B36,49163,NIC,A1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B36,15.595,24.802
B39,4493,NIC,B1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B39,57.595,51.576
B42,17481,NIC,C1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B42,44.775,25.488
B45,14289,NIC,D1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B45,312.905,9.538
B48,9957,NIC,E1,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B48,312.67,56.003
T16,35035,NIC,G9,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T16,116,84.661
T23,8294,NIC,F10,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T23,142.73,17.997
T31,6740,NIC,E11,Triatoma,sample,P,NA,field,Trecurva,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T31,163.74,15.12
T32,9347,NIC,F11,Triatoma,sample,N,NA,field,Trecurva,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T32,185.76,39.062
LC17i6A1,19919,1,E9,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,yes,1,LCNCA,AZ,nest3,31.74319,#FIELD!,3.7.2018,NA,LC17i6A1,177.407,31.702
LC26i6A1,25058,1,F10,Triatoma,sample,N,N,field,Trubida,L6,L4_6,female,yes,1,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC26i6A1,235.475,27.912
LC15i5A3,25,1,C9,Triatoma,sample,N,N,field,Trubida,L5,L4_6,NA,yes,3,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC15i5A3,60.157,26.379
LC16i5A1,11514,1,D9,Triatoma,sample,N,N,field,Trubida,L5,L4_6,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC16i5A1,22.609,22.425
TU10i6A0,2781,1,H1,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,#FIELD!,19.5.2018,NA,TU10i6A0,230.226,53.752
TU17i6A0,22188,1,G2,Triatoma,sample,N,N,field,Trubida,L6,L4_6,male,no,0,UADS,AZ,bob,32.258439,#FIELD!,19.5.2018,NA,TU17i6A0,241.786,50.616
LC37i1A3,1546,1,G11,Triatoma,sample,FALSE,Undetermined,field,Trubida,L1,L1_3,NA,yes,3,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC37i1A3,2.952,8.424
